postal_code,centroid_lat,centroid_lng
02500,38.6199,-1.7442098779999
02510,38.786625,-1.765092942
02511,38.729930117,-1.7986599999999
02512,38.685594723,-1.61227
02513,38.564765,-1.610698616
02520,38.942575,-1.7073144029999
02530,38.136305,-2.292555099
02534,38.110395,-2.449308323
02536,38.214110502,-2.30348
02600,39.19191,-2.5655575
02610,38.944145,-2.543314833
02611,38.96529,-2.7701470069999
02612,39.083145,-2.4536071109999
02614,38.847425,-2.46908518
02620,39.228401019,-2.3111249999999
02630,39.19061,-2.1407976149999
02636,39.319391586,-2.04256
02637,39.24157,-2.0715087419999
02638,39.166965,-2.0328722679999
02639,39.087128528,-2.23686
02640,38.84288,-1.112164981
02650,38.757795,-1.288279732
02651,38.704025,-1.4496287059999
02652,38.620485,-1.4924083179999
02653,38.57737,-1.511269323
02660,38.71489,-1.0232938569999
02690,38.987555,-1.2814716
02691,38.878365,-1.330767846
02692,38.76496,-1.529547952
02693,38.807105,-1.4370103389999
02694,38.96612,-1.4207012389999
02695,38.86731,-1.4800679699999
02696,38.96299,-1.563351751
03001,38.344351854,-0.48421999999994
03002,38.34815,-0.47951797699994
03003,38.340238972,-0.49000499999994
03004,38.349875,-0.48716821399995
03005,38.35394,-0.50298913099994
03006,38.35212,-0.54111720499998
03007,38.339385,-0.52903052999994
03008,38.307375,-0.53910335299997
03009,38.365405,-0.51319693099992
03010,38.365606326,-0.48992499999997
03011,38.378070055,-0.49370499999998
03012,38.359344907,-0.48081499999995
03013,38.35698,-0.47481524199998
03014,38.370273929,-0.48401499999994
03015,38.38025809,-0.47266999999994
03016,38.368285,-0.44697283199997
03100,38.56129,-0.47472690499995
03108,38.604925,-0.40492741699995
03109,38.52285,-0.60320168999993
03110,38.444055,-0.47786270199992
03111,38.504784711,-0.41774999999996
03112,38.39762,-0.47897380599994
03113,38.33679,-0.60030552199993
03114,38.348970398,-0.58523499999995
03130,38.19947,-0.54598039399997
03138,38.164835,-0.47302392599994
03139,38.24916,-0.60382763299998
03140,38.09298,-0.67013811099997
03149,38.060395,-0.67306973099994
03150,38.13746,-0.75198331399997
03158,38.160175,-0.79663229399995
03159,38.111915,-0.76072205299994
03160,38.106867502,-0.78709999999995
03169,38.087485,-0.80403528199997
03170,38.074862187,-0.71743999999995
03176,38.05144766,-0.73838449999994
03177,38.120155,-0.69993438099993
03178,38.07484,-0.74057321699996
03179,38.09722,-0.74084906899998
03180,37.9851645,-0.68278331999994
03181,37.979391467,-0.68526999999995
03182,37.979295,-0.67119277499995
03183,37.999785,-0.66586950699997
03184,38.003562302,-0.69618999999994
03185,37.954211457,-0.70708499999995
03186,37.987445,-0.74948618999997
03187,38.02997,-0.76693303599995
03188,38.017488384,-0.65535999999997
03189,37.930955,-0.78331138899995
03190,37.864235,-0.78853624999994
03191,37.899215,-0.82298655499994
03193,37.976895,-0.80010338599993
03194,38.161945,-0.69278147999995
03195,38.250753565,-0.51989999999995
03201,38.26631,-0.70521071399997
03202,38.27358,-0.68377589699998
03203,38.261905,-0.68799222099994
03204,38.270665,-0.73520705899995
03205,38.267485555,-0.71852999999993
03206,38.279225,-0.72014246799995
03207,38.300945,-0.68008208299995
03208,38.2656,-0.66555225499997
03290,38.32621115,-0.64096499999994
03291,38.301525,-0.71490509099993
03292,38.2184575,-0.63868128599995
03293,38.273615,-0.75758202699996
03294,38.206326859,-0.67270799999994
03295,38.282056968,-0.55348499999997
03296,38.21942,-0.74010770299998
03300,38.08841,-0.94618537699995
03310,38.045999761,-0.85340499999995
03311,38.080675,-0.98552908199997
03312,38.047973505,-0.96256999999997
03313,38.007365,-0.91360065799995
03314,38.0962145,-0.86761415299998
03315,38.204995,-0.95389309099994
03316,38.125773,-0.99500697799994
03317,38.179488811,-0.92176499999994
