postal_code,lat,lng,location
02004,38.992165,-1.8658965119999,"Albacete, Albacete, Castilla-La Mancha, ESP"
02005,39.00524,-1.868614641,"Albacete, Albacete, Castilla-La Mancha, ESP"
02006,38.978820234,-1.875305,"Albacete, Albacete, Castilla-La Mancha, ESP"
02007,39.029205467,-1.8703928419999,"Albacete, Albacete, Castilla-La Mancha, ESP"
02008,38.993775369,-1.829555,"Albacete, Albacete, Castilla-La Mancha, ESP"
02049,38.968414649,-1.923355,"Albacete, Albacete, Castilla-La Mancha, ESP"
02100,39.231255,-1.9474572,"Tarazona de la Mancha, Albacete, Castilla-La Mancha, ESP"
02110,39.121225,-2.0136138149999,"La Gineta, Albacete, Castilla-La Mancha, ESP"
02120,38.703397581,-1.9950049999999,"Peñas de San Pedro, Albacete, Castilla-La Mancha, ESP"
02124,38.633255,-2.021934476,"Alcadozo, Albacete, Castilla-La Mancha, ESP"
02125,38.53927,-2.12431484,"Ayna, Albacete, Castilla-La Mancha, ESP"
02127,38.72871,-2.0874441669999,"Peñas de San Pedro, Albacete, Castilla-La Mancha, ESP"
02129,38.6827,-2.088436757,"Alcadozo, Albacete, Castilla-La Mancha, ESP"
02130,38.5695,-2.2101510749999,"Bogarra, Albacete, Castilla-La Mancha, ESP"
02136,38.60292,-2.360988456,"Paterna del Madera, Albacete, Castilla-La Mancha, ESP"
02137,38.61988,-2.395347844,"Peñascosa, Albacete, Castilla-La Mancha, ESP"
02139,38.583595,-2.119135349,"Ayna, Albacete, Castilla-La Mancha, ESP"
02140,38.848318506,-1.9396449999999,"Albacete, Albacete, Castilla-La Mancha, ESP"
02141,38.71493,-1.8776109359999,"Pozohondo, Albacete, Castilla-La Mancha, ESP"
02142,38.653625,-1.901999685,"Pozohondo, Albacete, Castilla-La Mancha, ESP"
02150,39.112655,-1.672596029,"Valdeganga, Albacete, Castilla-La Mancha, ESP"
02151,39.092122781,-1.56823,"Casas de Juan Núñez, Albacete, Castilla-La Mancha, ESP"
02152,39.086083196,-1.3640649999999,"Alatoz, Albacete, Castilla-La Mancha, ESP"
02153,39.103374891,-1.2860049999999,"Carcelén, Albacete, Castilla-La Mancha, ESP"
02154,39.087099027,-1.481665,"Pozo-Lorente, Albacete, Castilla-La Mancha, ESP"
02155,39.044018522,-1.778475,"Albacete, Albacete, Castilla-La Mancha, ESP"
02156,39.039505,-1.7026335809999,"Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, ESP"
02160,38.963774689,-2.3359799999999,"Lezuza, Albacete, Castilla-La Mancha, ESP"
02161,38.90717,-2.22307061,"Lezuza, Albacete, Castilla-La Mancha, ESP"
02162,38.93822,-2.1075201269999,"La Herrera, Albacete, Castilla-La Mancha, ESP"
02200,39.303736173,-1.4564099999999,"Casas-Ibáñez, Albacete, Castilla-La Mancha, ESP"
02210,39.19472,-1.433316083,"Alcalá del Júcar, Albacete, Castilla-La Mancha, ESP"
02211,39.185945,-1.402237828,"Alcalá del Júcar, Albacete, Castilla-La Mancha, ESP"
02212,39.271858098,-1.291955,"Casas de Ves, Albacete, Castilla-La Mancha, ESP"
02213,39.20771,-1.239069478,"Villa de Ves, Albacete, Castilla-La Mancha, ESP"
02214,39.28553,-1.2119847009999,"Balsa de Ves, Albacete, Castilla-La Mancha, ESP"
02215,39.302070649,-1.3680949999999,"Alborea, Albacete, Castilla-La Mancha, ESP"
02220,39.17790361,-1.7777899999999,"Motilleja, Albacete, Castilla-La Mancha, ESP"
02230,39.225552869,-1.813575,"Madrigueras, Albacete, Castilla-La Mancha, ESP"
02240,39.203145,-1.715867026,"Mahora, Albacete, Castilla-La Mancha, ESP"
02246,39.286965,-1.729234112,"Navas de Jorquera, Albacete, Castilla-La Mancha, ESP"
02247,39.292291531,-1.659665,"Cenizate, Albacete, Castilla-La Mancha, ESP"
02248,39.17541,-1.521119615,"Jorquera, Albacete, Castilla-La Mancha, ESP"
02249,39.15203,-1.53270506,"Jorquera, Albacete, Castilla-La Mancha, ESP"
02250,39.212865,-1.5381608459999,"Abengibre, Albacete, Castilla-La Mancha, ESP"
02251,39.229795002,-1.6048,"Fuentealbilla, Albacete, Castilla-La Mancha, ESP"
02252,39.215361019,-1.4792199999999,"Alcalá del Júcar, Albacete, Castilla-La Mancha, ESP"
02253,39.230282709,-1.6400599999999,"Golosalvo, Albacete, Castilla-La Mancha, ESP"
02260,39.27185,-1.561138781,"Fuentealbilla, Albacete, Castilla-La Mancha, ESP"
02270,39.362085,-1.539751227,"Villamalea, Albacete, Castilla-La Mancha, ESP"
02300,38.51847,-2.7186060879999,"Alcaraz, Albacete, Castilla-La Mancha, ESP"
02310,38.77892952,-2.565195,"Viveros, Albacete, Castilla-La Mancha, ESP"
02311,38.703863666,-2.6216249999999,"Povedilla, Albacete, Castilla-La Mancha, ESP"
02312,38.72841,-2.536932039,"Alcaraz, Albacete, Castilla-La Mancha, ESP"
02313,38.713253342,-2.417615,"Peñascosa, Albacete, Castilla-La Mancha, ESP"
02314,38.711075,-2.315106967,"Masegoso, Albacete, Castilla-La Mancha, ESP"
02315,38.59188,-2.4929736789999,"Vianos, Albacete, Castilla-La Mancha, ESP"
02316,38.566642476,-2.5447199999999,"Salobre, Albacete, Castilla-La Mancha, ESP"
02320,38.889375,-2.1352812669999,"Balazote, Albacete, Castilla-La Mancha, ESP"
02326,38.797426811,-2.1874849999999,"San Pedro, Albacete, Castilla-La Mancha, ESP"
02327,38.820625,-2.082267724,"Pozuelo, Albacete, Castilla-La Mancha, ESP"
02328,39.028065,-2.0546932619999,"Albacete, Albacete, Castilla-La Mancha, ESP"
02329,38.77669265,-2.24531,"Casas de Lázaro, Albacete, Castilla-La Mancha, ESP"
02340,38.79852,-2.3834917729999,"Robledo, Albacete, Castilla-La Mancha, ESP"
02350,38.576975,-2.649228454,"Villapalacios, Albacete, Castilla-La Mancha, ESP"
02360,38.531925,-2.641591401,"Bienservida, Albacete, Castilla-La Mancha, ESP"
02400,38.53438,-1.666882684,"Hellín, Albacete, Castilla-La Mancha, ESP"
02409,38.46599,-1.683248803,"Hellín, Albacete, Castilla-La Mancha, ESP"
02410,38.5245,-1.94905992,"Liétor, Albacete, Castilla-La Mancha, ESP"
02420,38.534305425,-1.79067,"Hellín, Albacete, Castilla-La Mancha, ESP"
02430,38.457445,-2.0359714269999,"Elche de la Sierra, Albacete, Castilla-La Mancha, ESP"
02434,38.306285,-2.1392233839999,"Letur, Albacete, Castilla-La Mancha, ESP"
02435,38.332823,-1.9860344429999,"Socovos, Albacete, Castilla-La Mancha, ESP"
02436,38.37857,-1.946378629,"Férez, Albacete, Castilla-La Mancha, ESP"
02437,38.32882,-1.922615563,"Socovos, Albacete, Castilla-La Mancha, ESP"
02439,38.39888,-2.04419289,"Letur, Albacete, Castilla-La Mancha, ESP"
02440,38.45526823,-2.238015,"Molinicos, Albacete, Castilla-La Mancha, ESP"
02448,38.51526,-2.296948701,"Molinicos, Albacete, Castilla-La Mancha, ESP"
02449,38.46114647,-2.30292,"Molinicos, Albacete, Castilla-La Mancha, ESP"
02450,38.503385,-2.4685968209999,"Riópar, Albacete, Castilla-La Mancha, ESP"
02459,38.480505,-2.436125444,"Riópar, Albacete, Castilla-La Mancha, ESP"
02460,38.456075,-2.5089821789999,"Villaverde de Guadalimar, Albacete, Castilla-La Mancha, ESP"
02461,38.42223,-2.5024783289999,"Cotillas, Albacete, Castilla-La Mancha, ESP"
02462,38.432870489,-2.5616899999999,"Villaverde de Guadalimar, Albacete, Castilla-La Mancha, ESP"
02480,38.361825,-2.322609144,"Yeste, Albacete, Castilla-La Mancha, ESP"
02484,38.33837,-2.434793322,"Yeste, Albacete, Castilla-La Mancha, ESP"
02485,38.386075,-2.4224512989999,"Yeste, Albacete, Castilla-La Mancha, ESP"
02486,38.409865,-2.3272728229999,"Yeste, Albacete, Castilla-La Mancha, ESP"
02487,38.308890658,-2.242385,"Yeste, Albacete, Castilla-La Mancha, ESP"
02489,38.26979,-2.36995939,"Yeste, Albacete, Castilla-La Mancha, ESP"
02490,38.411432942,-1.65955,"Hellín, Albacete, Castilla-La Mancha, ESP"
02499,38.398409792,-1.60455,"Hellín, Albacete, Castilla-La Mancha, ESP"
02500,38.6199,-1.7442098779999,"Tobarra, Albacete, Castilla-La Mancha, ESP"
02510,38.786625,-1.765092942,"Pozo Cañada, Albacete, Castilla-La Mancha, ESP"
02511,38.729930117,-1.7986599999999,"Albacete, Albacete, Castilla-La Mancha, ESP"
02512,38.685594723,-1.61227,"Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, ESP"
02513,38.564765,-1.610698616,"Tobarra, Albacete, Castilla-La Mancha, ESP"
02520,38.942575,-1.7073144029999,"Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, ESP"
02530,38.136305,-2.292555099,"Nerpio, Albacete, Castilla-La Mancha, ESP"
02534,38.110395,-2.449308323,"Nerpio, Albacete, Castilla-La Mancha, ESP"
02536,38.214110502,-2.30348,"Nerpio, Albacete, Castilla-La Mancha, ESP"
02600,39.19191,-2.5655575,"Villarrobledo, Albacete, Castilla-La Mancha, ESP"
02610,38.944145,-2.543314833,"El Bonillo, Albacete, Castilla-La Mancha, ESP"
02611,38.96529,-2.7701470069999,"Ossa de Montiel, Albacete, Castilla-La Mancha, ESP"
02612,39.083145,-2.4536071109999,"Munera, Albacete, Castilla-La Mancha, ESP"
02614,38.847425,-2.46908518,"El Ballestero, Albacete, Castilla-La Mancha, ESP"
02620,39.228401019,-2.3111249999999,"Minaya, Albacete, Castilla-La Mancha, ESP"
02630,39.19061,-2.1407976149999,"La Roda, Albacete, Castilla-La Mancha, ESP"
02636,39.319391586,-2.04256,"Villalgordo del Júcar, Albacete, Castilla-La Mancha, ESP"
02637,39.24157,-2.0715087419999,"Fuensanta, Albacete, Castilla-La Mancha, ESP"
02638,39.166965,-2.0328722679999,"Montalvos, Albacete, Castilla-La Mancha, ESP"
02639,39.087128528,-2.23686,"Barrax, Albacete, Castilla-La Mancha, ESP"
02640,38.84288,-1.112164981,"Almansa, Albacete, Castilla-La Mancha, ESP"
02650,38.757795,-1.288279732,"Montealegre del Castillo, Albacete, Castilla-La Mancha, ESP"
02651,38.704025,-1.4496287059999,"Fuente-Álamo, Albacete, Castilla-La Mancha, ESP"
02652,38.620485,-1.4924083179999,"Ontur, Albacete, Castilla-La Mancha, ESP"
02653,38.57737,-1.511269323,"Albatana, Albacete, Castilla-La Mancha, ESP"
02660,38.71489,-1.0232938569999,"Caudete, Albacete, Castilla-La Mancha, ESP"
02690,38.987555,-1.2814716,"Alpera, Albacete, Castilla-La Mancha, ESP"
02691,38.878365,-1.330767846,"Bonete, Albacete, Castilla-La Mancha, ESP"
02692,38.76496,-1.529547952,"Pétrola, Albacete, Castilla-La Mancha, ESP"
02693,38.807105,-1.4370103389999,"Corral-Rubio, Albacete, Castilla-La Mancha, ESP"
02694,38.96612,-1.4207012389999,"Higueruela, Albacete, Castilla-La Mancha, ESP"
02695,38.86731,-1.4800679699999,"Chinchilla de Monte-Aragón, Albacete, Castilla-La Mancha, ESP"
02696,38.96299,-1.563351751,"Hoya-Gonzalo, Albacete, Castilla-La Mancha, ESP"
03001,38.344351854,-0.48421999999994,"Alicante, Alicante, Comunidad Valenciana, ESP"
03002,38.34815,-0.47951797699994,"Alicante, Alicante, Comunidad Valenciana, ESP"
03003,38.340238972,-0.49000499999994,"Alicante, Alicante, Comunidad Valenciana, ESP"
03004,38.349875,-0.48716821399995,"Alicante, Alicante, Comunidad Valenciana, ESP"
03005,38.35394,-0.50298913099994,"Alicante, Alicante, Comunidad Valenciana, ESP"
03006,38.35212,-0.54111720499998,"Alicante, Alicante, Comunidad Valenciana, ESP"
03007,38.339385,-0.52903052999994,"Alicante, Alicante, Comunidad Valenciana, ESP"
03008,38.307375,-0.53910335299997,"Alicante, Alicante, Comunidad Valenciana, ESP"
03009,38.365405,-0.51319693099992,"Alicante, Alicante, Comunidad Valenciana, ESP"
03010,38.365606326,-0.48992499999997,"Alicante, Alicante, Comunidad Valenciana, ESP"
